department_code,original_department_code,stock_code,description,soh,sales_qty,sales_value,sales_cost,gross_profit,turnover_percent,gross_profit_percent
MAHI,MAHI06,LP9038999,AGIOLAX 250G,0.0,1.0,292.13,216.05,76.08,0.316,26.043
MAHI,MAHI06,LP9039027,DULCOLAX   SUPPS 10 PAED,1.0,1.0,180.2,122.3,57.9,0.241,32.131
MAHI,MAHI06,LP9039049,LACSON SYRUP 150ML,4.0,2.0,138.68,98.21,40.47,0.168,29.182
MAHI,MAHI06,LP9039068,MOVICOL 20,3.95,1.0,206.35,130.08,76.27,0.317,36.961
MAHI,MAHI06,LP9039078,SENOKOT TABS  20,1.7,1.3,100.42,87.19,13.23,0.055,13.175
MAHI,MAHI06,LP9080178,PURGOLENE 13.8G SACHETS 20,4.2,3.0,436.45,301.44,135.01,0.561,30.934
MAHI,MAHI06,LP9086800,MOVICOL  8,1.5,2.5,189.73,187.83,1.9,0.008,1.001
MAHP,MAHP01,LP9039282,LENNONS BORSDRUPPELS 20ML,1.0,3.0,104.22,72.03,32.19,0.134,30.887
MAHP,MAHP01,LP9039288,LENNONS DUIWELSDREK DROPS 20ML,3.0,1.0,34.74,23.97,10.77,0.045,31.002
MAHP,MAHP01,LP9039293,LENNONS HAARLEMENSIS 20ML,2.0,1.0,39.12,23.32,15.8,0.066,40.389
MAHP,MAHP01,LP9039305,LENNONS PEPPERMINT DRUPPELS 20ML,2.0,1.0,34.74,23.98,10.76,0.045,30.973
MAHP,MAHP01,LP9039311,LENNONS TURLINGTON 20ML,6.0,2.0,69.48,47.0,22.48,0.093,32.355
MAHP,MAHP02,LP9080850,MARSHALLS EAR DROP 20ML,4.0,1.0,41.7,28.6,13.1,0.054,31.415
MAHR,MAHR01,LP9038174,AUSTELL PARACETAMOL 500MG TABS 20,2.0,1.0,20.83,14.7,6.13,0.025,29.429
MAHR,MAHR01,LP9038185,COMPRAL POWDERS 38,1.0,1.0,80.83,59.27,21.56,0.09,26.673
MAHR,MAHR01,LP9038272,PANADO 500MG TABS  24 (BLISTER),9.0,1.0,34.74,24.2,10.54,0.044,30.34
MAHR,MAHR01,LP9115113,GRANDPA STICK PACK 25,3.32,1.0,81.7,60.51,21.19,0.088,25.936
MAHR,MAHR01,LP9115114,GRANDPA STICK PACK 38,0.114,1.026,107.01,77.07,29.94,0.124,27.979
MAHR,MAHR02,LP9059211,TRANSACT LAT PATCH 5,5.0,1.0,179.31,121.93,57.38,0.238,32.0
MAHR,MAHR02,LP9066379,DR LEE PAIN RELIEF PATCHES 6,6.0,1.0,54.74,38.78,15.96,0.066,29.156
MAHR,MAHR03,LP9038302,ADCO NAPAMOL SYRUP 100ML,17.0,2.0,43.4,30.82,12.58,0.052,28.986
MAHR,MAHR03,LP9038304,CALPOL PAED SUSP 100ML,4.0,1.0,76.48,51.66,24.82,0.103,32.453
MAHR,MAHR03,LP9038321,PAINAMOL SYRUP 100ML (PLASTIC),1.0,1.0,31.26,21.35,9.91,0.041,31.702
MAHR,MAHR03,LP9040141,ACTAMOL SYRUP 100ML UNBOXED,5.0,1.0,15.61,11.37,4.24,0.018,27.162
MAHR,MAHR05,LP9038347,ARNICA ICE COOLING GEL 475ML,1.0,1.0,68.65,48.8,19.85,0.082,28.915
MAHR,MAHR05,LP9038361,DEEP HEAT 100G,2.0,1.0,135.61,95.9,39.71,0.165,29.283
MAHR,MAHR05,LP9087312,DEEP RELIEF GEL  30G,0.0,1.0,72.13,51.05,21.08,0.088,29.225
MAHS,MAHS01,LP9039104,PREPARATION H SUPP 12,2.0,1.0,153.0,109.86,43.14,0.179,28.196
PDOA,PDOA02,LP9039155,MEDAZINE T 50MG TABS 10,34.96,2.0,53.82,38.42,15.4,0.064,28.614
PDOA,PDOA02,LP9039165,VALOID 50MG TABS 10,1.0,1.0,44.3,31.08,13.22,0.055,29.842
PDOA,PDOA02,LP9074024,MEDAZINE T 50MG TABS 20,30.9,1.0,53.87,38.43,15.44,0.064,28.662
PDOA,PDOA04,LP9039160,STUGERON 25MG TABS 10,1.0,1.0,84.3,60.19,24.11,0.1,28.6
PDOA,PDOA05,LP9039178,GASTRON 2MG TABS  6,2.0,1.0,13.0,8.86,4.14,0.017,31.846
PDOA,PDOA05,LP9039188,PECTROLYTE 150ML,14.0,1.0,76.48,54.4,22.08,0.092,28.87
PDOA,PDOA05,LP9118375,CIPLA LOPERAMIDE 2MG TABS 12,28.0,1.0,29.52,21.06,8.46,0.035,28.659
PDOA,PDOA07,LP9038978,HYOSPASMOL 10MG TABS  10,2.0,1.0,57.88,41.24,16.64,0.069,28.749
PDOA,PDOA07,LP9038983,SCOPEX 10MG TABS 10,2.0,2.0,90.19,64.76,25.43,0.106,28.196
PDOA,PDOA07,LP9094375,BUSCOPAN 10MG TABS 20,2.0,1.0,141.28,106.96,34.32,0.143,24.292
PDOA,PDOA08,LP9038972,BENNETTS COLIC MIXT 50ML,1.0,1.0,102.57,72.79,29.78,0.124,29.034
PDOA,PDOA12,LP9043482,LANSOLOC OTC 15MG CAPS 14,9.0,1.0,90.12,66.1,24.02,0.1,26.653
PDOA,PDOA12,LP9087754,OMIFLUX 20MG OTC CAPS 14,5.99,2.0,175.56,127.12,48.44,0.201,27.592
PDOA,PDOA12,LP9123786,LOKIT OTC CAPS 14,12.42,1.0,78.22,55.43,22.79,0.095,29.136
PDOB,PDOB02,LP9038269,PANADO 500MG TABS 100,0.28,1.0,118.22,85.56,32.66,0.136,27.626
PDOB,PDOB03,LP9038160,SYNDOL TABS 40,0.0,1.0,106.04,75.7,30.34,0.126,28.612
PDOB,PDOB03,LP9066253,BETAPYN TABS 40,29.0,1.0,118.22,84.11,34.11,0.142,28.853
PDOB,PDOB03,LP9066287,ADCO DOL TABS 40,18.0,6.0,335.67,238.56,97.11,0.404,28.93
PDOB,PDOB03,LP9071917,TENSOPYN TABS  40,15.5,2.0,107.74,75.78,31.96,0.133,29.664
PDOB,PDOB03,LP9134254,LENASPASM TABS 48,2.0,1.0,93.89,66.9,26.99,0.112,28.746
PDOB,PDOB04,LP9038332,STILPANE SYRUP 100ML,5.0,1.0,27.29,20.11,7.18,0.03,26.31
PDOB,PDOB04,LP9038333,STOPAYNE SYRUP 100ML BLACKCURRANT,0.25,0.5,40.44,29.0,11.44,0.048,28.289
PDOB,PDOB05,LP9040937,COLCHICINE HOUD 1MG TABS  6,77.0,2.0,86.86,61.87,24.99,0.104,28.77
PDOB,PDOB06,LP9038151,NUROFEN 200MG TABS 24,1.0,1.0,72.13,51.27,20.86,0.087,28.92
PDOB,PDOB07,LP9076676,PANAMOR AT 50MG TABS   9,1.0,1.0,8.69,5.82,2.87,0.012,33.026
PDOB,PDOB07,LP9079491,DICLOFLAM DISP B/C 50MG TABS  9,2.0,1.0,45.72,34.12,11.6,0.048,25.372
PDOB,PDOB08,LP9039810,PONAC SUSPENSION 200ML,1.0,1.0,53.0,37.53,15.47,0.064,29.189
PDOB,PDOB08,LP9065439,INFLAMAX PEAD SUSP 100ML,1.5,2.0,116.84,87.4,29.44,0.122,25.197
PDOB,PDOB08,LP9118260,IBUGESIC ORAL  SUSPENSION 100ML S/B,9.5,1.0,62.37,45.97,16.4,0.068,26.295
PDOB,PDOB09,LP9038144,MYPAID CAPS 30,17.0,1.0,63.34,46.46,16.88,0.07,26.65
PDOB,PDOB09,LP9038239,IBUPAIN BLISTER CAPS 30,1.0,1.0,72.13,51.44,20.69,0.086,28.684
PDOB,PDOB11,LP9041370,GEN-PAYNE CAPS 30,17.434,2.0,182.52,129.6,52.92,0.22,28.994
PDOB,PDOB11,LP9149765,LENBUCOD TABS 30,3.0,2.0,176.82,129.0,47.82,0.199,27.044
PDOB,PDOB12,LP9039798,MYBULEN SUSPENSION 100ML,2.0,1.0,102.89,76.78,26.11,0.109,25.377
PDOD,PDOD01,LP9039197,VERMOX SD 500MG TABS 1,0.0,1.0,64.3,45.41,18.89,0.078,29.378
PDOD,PDOD01,LP9039204,WORMSTOP 100MG TABS 6,2.0,1.0,17.35,11.89,5.46,0.023,31.47
PDOD,PDOD02,LP9039202,WORMSTOP SUSPENSION 30ML,2.0,1.0,25.17,17.95,7.22,0.03,28.685
PDOE,PDOE01,LP9037768,CIPLA ACTIN  4MG TABS 30,32.0,0.0,5.27,0.0,5.27,0.022,100.0
PDOE,PDOE02,LP9037731,TEXA 10MG TABS 30,0.339,3.0,311.28,222.6,88.68,0.369,28.489
PDOE,PDOE02,LP9057672,CETICIT 10MG TABS 10,10.0,1.0,32.13,22.53,9.6,0.04,29.879
PDOE,PDOE04,LP9037679,ALLERGEX TABS  30,64.668,8.0,196.26,140.08,56.18,0.233,28.625
PDOE,PDOE05,LP9037738,ALLERGEX SYRUP 100ML,19.5,2.0,39.92,24.66,15.26,0.063,38.226
PDOE,PDOE05,LP9104199,RHINETON SYR 100ML,0.0,1.0,17.35,11.9,5.45,0.023,31.412
PDOE,PDOE06,LP9041959,NEOLORIDIN 5MG TABS 10,3.0,2.0,115.49,84.18,31.31,0.13,27.111
PDOE,PDOE11,LP9130062,FEXOGEN 120MG TABS 30,8.0,1.0,181.36,121.89,59.47,0.247,32.791
PDOE,PDOE12,LP9037724,TELFAST SUSP 150ML KIDS,3.5,2.0,379.04,270.62,108.42,0.451,28.604
PDOE,PDOE14,LP9037693,CIPLA LORATADINE 10MG TABS 10,9.0,1.0,27.78,19.76,8.02,0.033,28.87
PDOF,PDOF01,LP9060150,MYOPRIN 100MG TABS 30,9.0,1.0,40.74,31.34,9.4,0.039,23.073
PDOF,PDOF01,LP9147493,ECOTRIN 81MG TABS  30,9.234,2.0,120.17,87.14,33.03,0.137,27.486
PDOF,PDOF01,LP9149915,TRINPRIN 100MG GR TABS 30,9.0,1.0,39.37,27.39,11.98,0.05,30.429
PDOG,PDOG01,LP9038287,SPASMEND TABS  24,7.833,1.0,49.34,35.37,13.97,0.058,28.314
PDOG,PDOG01,LP9049269,NORFLEX CO TABS  48,2.5,2.0,263.66,190.42,73.24,0.304,27.778
PDOG,PDOG01,LP9141175,MYLOSPAS 750MG TABS 20,1.0,1.0,73.87,52.63,21.24,0.088,28.753
PDOI,PDOI05,LP9038737,TERBANE 10MG 7.5G,0.0,1.0,86.91,61.96,24.95,0.104,28.708
PDOI,PDOI11,LP9038750,MYLOCORT CREAM 25G,1.2,1.0,79.38,55.24,24.14,0.1,30.411
PDOI,PDOI18,LP9038741,ALLERGEX MEPYRAMINE CREAM 25G,26.0,1.0,20.83,14.53,6.3,0.026,30.245
PDOJ,PDOJ01,LP9038095,OROCHLOR SPRAY 100ML,1.0,2.0,306.08,223.28,82.8,0.344,27.052
PDOJ,PDOJ01,LP9079782,ORANIX ORAL SPRAY 30ML,5.0,2.0,211.37,169.82,41.55,0.173,19.657
PDOJ,PDOJ05,LP9037970,ILIADIN NASAL SPRAY 0.05% 20ML,2.0,1.0,69.52,63.56,5.96,0.025,8.573
PDOJ,PDOJ05,LP9037975,NAZENE SPRAY 20ML   [RESTAN],4.0,2.0,122.09,88.84,33.25,0.138,27.234
PDOJ,PDOJ05,LP9037983,OTRIVIN METER SPRAY 10ML MENTHOL AD,7.0,2.0,243.4,172.98,70.42,0.293,28.932
PDOJ,PDOJ05,LP9037990,SINUTAB NASAL SPRAY 10ML,6.0,1.0,60.83,56.28,4.55,0.019,7.48
PDOJ,PDOJ08,LP9038088,MEDI-KEEL A LOZ 16 HONEY/LEMON,4.0,1.0,54.37,41.85,12.52,0.052,23.027
PDOJ,PDOJ08,LP9038089,MEDI-KEEL A LOZ 16 BLACKCURRANT,5.0,1.0,59.09,41.85,17.24,0.072,29.176
PDOJ,PDOJ09,LP9037758,ADVIL CS TABS 20,2.0,2.0,184.92,133.58,51.34,0.213,27.763
PDOJ,PDOJ09,LP9037773,CORYX EFF TABS 12,7.0,2.0,161.66,115.3,46.36,0.193,28.677
PDOJ,PDOJ09,LP9037779,DEMAZIN ND REPETAB 6,0.0,3.0,192.9,137.43,55.47,0.231,28.756
PDOJ,PDOJ09,LP9037783,FAMUCAPS CAPS   20,3.0,1.0,29.1,21.72,7.38,0.031,25.361
PDOJ,PDOJ09,LP9037788,FLUSIN S EFFER TABS 12,8.0,3.0,247.69,182.16,65.53,0.272,26.456
PDOJ,PDOJ09,LP9037790,FLUSIN TABS 24,2.0,1.0,68.97,50.59,18.38,0.076,26.649
PDOJ,PDOJ09,LP9037821,SINUEND TABS 20,9.0,1.0,26.04,18.63,7.41,0.031,28.456
PDOJ,PDOJ09,LP9037822,SINU FLU TABS 20,13.0,1.0,25.7,19.78,5.92,0.025,23.035
PDOJ,PDOJ09,LP9068076,IBUMAX COLD & FLU TABS 24,23.0,1.0,75.61,53.69,21.92,0.091,28.991
PDOJ,PDOJ09,LP9109507,SINUCLEAR CAPS 16,7.25,1.0,55.61,38.95,16.66,0.069,29.959
PDOJ,PDOJ09,LP9153326,SINU-BUST CAPS 20,16.0,1.0,100.83,65.38,35.45,0.147,35.158
PDOJ,PDOJ10,LP9038301,ADCO FLUPAIN SYRUP 100ML,6.5,3.0,89.36,63.75,25.61,0.106,28.659
PDOJ,PDOJ10,LP9075298,CORYX PAED SYRUP 140ML,11.214,1.357,112.21,78.07,34.14,0.142,30.425
PDOJ,PDOJ10,LP9121253,CORYX SYRUP 100ML COUGH AND COLD,5.0,1.0,52.13,36.93,15.2,0.063,29.158
PDOJ,PDOJ11,LP9037862,DEMAZIN ALCOHOL FREE 100ML,3.2,1.0,90.39,64.49,25.9,0.108,28.654
PDOJ,PDOJ11,LP9038517,BETAFED SYRUP 100ML,1.0,1.0,41.7,29.62,12.08,0.05,28.969
PDOJ,PDOJ11,LP9084757,RINEX SYRUP 200ML PAED,0.0,1.0,111.84,80.19,31.65,0.132,28.299
PDOJ,PDOJ12,LP9037967,ILIADIN DROPS KIDS 0.025% 10ML,1.0,1.0,90.39,62.78,27.61,0.115,30.545
PDOJ,PDOJ12,LP9103049,OXYMIST NASAL SPRAY 10ML PAEDIATRIC,8.0,1.0,73.84,55.1,18.74,0.078,25.379
PDOL,PDOL01,LP9038807,CANEX VAG CREAM 50G,2.8,3.0,88.68,61.71,26.97,0.112,30.413
PDOO,PDOO02,LP9038770,ASTHAVENT INHALER 200 DOSE,19.0,1.0,37.35,35.39,1.96,0.008,5.248
PDOR,PDOR01,LP9038511,BENYLIN ORIGINAL 200ML,2.0,1.0,131.15,96.21,34.94,0.145,26.641
PDOR,PDOR01,LP9038549,EXPECTALIN 200ML,1.0,1.0,76.94,56.12,20.82,0.087,27.06
PDOR,PDOR03,LP9038607,TRIFEN PAED SYRUP,4.5,2.5,73.16,52.7,20.46,0.085,27.966
PDOR,PDOR04,LP9038606,TRIFEN ADULT SYRUP,6.5,1.0,37.52,28.0,9.52,0.04,25.373
PDOR,PDOR05,LP9038498,ADCO LINCTOPENT 200ML,10.25,4.0,241.2,175.84,65.36,0.272,27.098
PDOR,PDOR05,LP9038584,MUCOSPECT PAED SYRUP 100ML,1.0,2.0,119.92,84.92,35.0,0.145,29.186
PDOR,PDOR06,LP9037754,ACC 200 TABS 25,1.8,1.0,133.0,94.69,38.31,0.159,28.805
PDOR,PDOR06,LP9038504,AMUCO 200MG TABS 20,3.0,2.0,190.81,140.92,49.89,0.207,26.146
PDOR,PDOR06,LP9121284,MUCOTRIN EFF TABS 20,3.0,1.0,77.35,55.0,22.35,0.093,28.895
PDOR,PDOR06,LP9121535,AMUCO 600MG EFF 10,3.0,2.0,335.56,238.54,97.02,0.403,28.913
PDOR,PDOR06,LP9124218,TUSSMUCO 200MG EFT 15,9.999,1.0,59.01,45.43,13.58,0.056,23.013
PDOR,PDOR06,LP9130418,ACC 600MG PWD 10G 10,5.9,1.0,179.96,128.44,51.52,0.214,28.629
PDOR,PDOR07,LP9038502,ALCOPHYLLEX 200ML SYRUP,41.5,10.0,270.78,192.9,77.88,0.324,28.761
PDOR,PDOR07,LP9038527,BRONCOL COUGH LINCTUS 200ML,19.5,1.0,90.39,64.46,25.93,0.108,28.687
PDOR,PDOR07,LP9038531,CLEAR COUGH SYRUP 200ML,9.75,2.0,41.66,28.94,12.72,0.053,30.533
PDOS,PDOS01,LP9037920,RELESTAT EDROP 5ML,3.0,1.0,206.04,146.22,59.82,0.249,29.033
PDOS,PDOS02,LP9037897,GEMINI EYE DROPS 15ML,8.0,1.0,71.26,50.85,20.41,0.085,28.642
PDOT,PDOT06,LP9037097,NEUROBION 200MG TABS   30,0.934,2.0,330.34,306.64,23.7,0.098,7.174
PDOU,PDOU01,LP9038989,URISPAS 200MG TABS 15,2.6,1.0,133.0,95.0,38.0,0.158,28.571
PDSS,PDSS01,LP9039373,RITALIN LA 20MG CAPS 30,3.0,1.0,645.38,611.06,34.32,0.143,5.318
PDST,PDST01,LP9039444,BE-TABS FOLIC ACID TABS 1000,1.724,0.03,30.73,19.58,11.15,0.046,36.284
PDST,PDST03,LP9039795,MOVIPREP KIT,1.0,1.0,235.63,193.65,41.98,0.174,17.816
PDST,PDST03,LP9039808,PICOPREP SACHETS 3,0.334,1.334,214.96,154.84,60.12,0.25,27.968
PDST,PDST03,LP9049120,NEXIAM  5MG SACH 28,0.321,0.036,21.54,15.93,5.61,0.023,26.045
PDST,PDST05,LP9039920,LOGYNON ED TABS 28,2.0,1.0,85.25,62.54,22.71,0.094,26.639
PDST,PDST05,LP9039940,TRIPHASIL TABS 28,0.0,2.0,281.67,208.4,73.27,0.304,26.013
PDST,PDST05,LP9039942,YAZ TABS 28,4.0,1.0,254.09,212.1,41.99,0.174,16.526
PDST,PDST05,LP9058212,ZOELY 2.5MG TABS 28,1.0,1.0,201.68,167.36,34.32,0.143,17.017
PDST,PDST05,LP9079799,YASMIN PLUS TABS 28,3.0,1.0,220.21,168.1,52.11,0.217,23.664
PDST,PDST05,LP9091565,ORALCON TABS 28,0.0,1.0,119.03,87.32,31.71,0.132,26.64
PDST,PDST06,LP9040036,NEUROBION AMPS 3ML 3,26.369,1.332,296.0,215.0,81.0,0.337,27.365
PDST,PDST07,LP9039988,HEXAXIM PFS ML VAC 1,1.0,1.0,635.26,593.28,41.98,0.174,6.608
PDST,PDST08,LP9040112,ABITREXATE 2.5MG TABS 100,2.52,0.16,32.11,23.42,8.69,0.036,27.063
PDST,PDST08,LP9040136,ACITAB 400 DT TABS 60,1.73,0.25,124.84,89.98,34.86,0.145,27.924
PDST,PDST08,LP9040144,ACTIVELLE TABS 28,2.0,1.0,305.44,263.46,41.98,0.174,13.744
PDST,PDST08,LP9040173,ADCO DAPAMAX 2.5MG TABS 30,0.901,1.0,22.12,16.23,5.89,0.024,26.627
PDST,PDST08,LP9040195,ADCO RETIC 5MG TABS 1000,1.155,0.09,50.31,36.93,13.38,0.056,26.595
PDST,PDST08,LP9040221,ADCO ZOLPIDEM 10MG TABS 30,27.333,2.0,286.85,214.84,72.01,0.299,25.104
PDST,PDST08,LP9040292,AMLOC 10MG TABS 30,5.43,2.0,179.71,129.92,49.79,0.207,27.706
PDST,PDST08,LP9040388,ASPAVOR 20MG TABS 30,0.893,1.0,37.16,27.39,9.77,0.041,26.292
PDST,PDST08,LP9085960,ACRIPTEGA TABS 30,2.0,1.0,212.28,160.17,52.11,0.217,24.548
PDST,PDST09,LP9040395,BETAMOX 250MG CAPS 500,2.218,0.12,39.06,27.32,11.74,0.049,30.056
PDST,PDST09,LP9040508,ATIVAN SL 1MG TABS 90,1.064,0.333,160.67,125.48,35.19,0.146,21.902
PDST,PDST09,LP9040608,AZOR 0.5MG TABS 100,0.79,1.34,220.96,158.25,62.71,0.261,28.381
PDST,PDST09,LP9040624,BE-TABS PREDNISONE 5MG TABS 1000,1.68,0.432,156.35,107.06,49.29,0.205,31.525
PDST,PDST09,LP9040645,BILOCOR 10MG TABS 30,10.0,1.0,98.61,70.7,27.91,0.116,28.303
PDST,PDST09,LP9040646,BILOCOR  5MG TABS 30,2.259,1.0,55.56,40.96,14.6,0.061,26.278
PDST,PDST09,LP9040693,BREN 400MG TABS 1000,21.4,0.02,21.74,6.26,15.48,0.064,71.205
PDST,PDST09,LP9064809,AUSTELL ENALAPRIL 10MG TABS 30,2.0,1.0,70.62,57.06,13.56,0.056,19.201
PDST,PDST09,LP9138991,BUDAIR 0.5MG 20X2ML,0.0,0.5,180.13,138.14,41.99,0.174,23.311
PDST,PDST10,LP9040715,CALCIFEROL 50000IU/ML TABS 100,1.33,0.13,64.52,46.2,18.32,0.076,28.394
PDST,PDST10,LP9040743,CARLOC 25MG TABS 30,16.597,2.0,196.52,168.52,28.0,0.116,14.248
PDST,PDST10,LP9040760,CELEBREX 200MG CAPS 30,1.259,1.0,98.48,70.17,28.31,0.118,28.747
PDST,PDST10,LP9040790,CIFRAN 500MG TABS 10,1.0,2.0,50.59,36.58,14.01,0.058,27.693
PDST,PDST10,LP9040793,CILIFT 20MG TABS 30,4.334,1.0,143.38,107.0,36.38,0.151,25.373
PDST,PDST10,LP9040813,CIPLA SIMVASTATIN 10MG TABS 30,8.33,1.0,34.86,25.57,9.29,0.039,26.649
PDST,PDST10,LP9040814,CIPLA SIMVASTATIN 20MG TABS 30,22.226,2.0,76.82,56.34,20.48,0.085,26.66
PDST,PDST10,LP9040815,CIPLA SIMVASTATIN 40MG TABS 30,8.0,1.0,45.37,31.57,13.8,0.057,30.417
PDST,PDST10,LP9040839,CIPLAVASC 10MG TABS 30,0.43,2.0,177.1,129.92,47.18,0.196,26.64
PDST,PDST10,LP9053922,CIPLASYL PLUS  4MG TABS 30,5.0,1.0,107.94,79.56,28.38,0.118,26.292
PDST,PDST10,LP9099614,CORICIB  60MG TABS 28,1.324,1.071,308.38,256.17,52.21,0.217,16.93
PDST,PDST10,LP9128676,CETVIO 37.5MG/325MG FCT 60,1.667,2.0,309.14,267.14,42.0,0.175,13.586
PDST,PDST10,LP9139706,URTON 50MG FC TABS 30,0.566,1.0,378.38,326.28,52.1,0.217,13.769
PDST,PDST11,LP9040970,COXFLAM 15MG TABS 30,7.168,1.0,131.8,97.48,34.32,0.143,26.039
PDST,PDST11,LP9054230,CORPOCID 20MG TABS 30,1.161,0.933,170.17,124.79,45.38,0.189,26.667
PDST,PDST11,LP9134308,COLCHICINE 0.5MG TABS 50,5.78,0.6,170.07,124.76,45.31,0.188,26.642
PDST,PDST12,LP9041073,DIAPHAGE 1000MG TABS 60,1.687,1.0,62.23,43.3,18.93,0.079,30.419
PDST,PDST12,LP9041127,DOPAQUEL 100MG TABS  90,1.129,0.333,175.17,128.37,46.8,0.194,26.717
PDST,PDST12,LP9041129,DOPAQUEL  25MG TABS 100,1.25,0.9,257.2,205.1,52.1,0.217,20.257
PDST,PDST12,LP9041136,DORMONOCT 2MG TABS  30,6.6,1.0,444.36,392.25,52.11,0.217,11.727
PDST,PDST12,LP9041156,DYNACAZ 30MG MR TABS 60,0.493,0.5,32.62,22.69,9.93,0.041,30.441
PDST,PDST13,LP9041236,EPITEC  25MG TABS 60,1.55,0.5,62.56,45.88,16.68,0.069,26.662
PDST,PDST13,LP9041242,EPLEPTIN 300MG CAPS 100,0.55,0.3,204.95,149.21,55.74,0.232,27.197
PDST,PDST13,LP9041274,EUTHYROX 100MCG TABS 30,4.962,2.0,60.61,43.82,16.79,0.07,27.702
PDST,PDST13,LP9041276,EUTHYROX  50MCG TABS 30,0.627,1.0,24.37,17.48,6.89,0.029,28.272
PDST,PDST13,LP9041300,FEMARA 2.5MG TABS 30,0.0,0.167,245.72,204.15,41.57,0.173,16.918
PDST,PDST13,LP9041309,FERTOMID 50MG TABS 10,2.5,1.0,187.96,121.94,66.02,0.274,35.124
PDST,PDST13,LP9041324,FLEXOCAM  7.5MG TABS 30,1.0,1.0,44.05,32.31,11.74,0.049,26.652
PDST,PDST13,LP9041404,GLYCOMIN 5MG TABS 100,0.09,0.3,14.64,10.73,3.91,0.016,26.708
PDST,PDST13,LP9041413,GULF ASPIRIN 300MG 14,3.929,1.0,11.45,8.04,3.41,0.014,29.782
PDST,PDST13,LP9050965,EXSIRA  50MG TABS 28,0.003,1.0,445.09,407.09,38.0,0.158,8.538
PDST,PDST13,LP9062815,GLUCOPHAGE XR 1000MG TABS  60,3.233,0.5,89.12,65.37,23.75,0.099,26.649
PDST,PDST13,LP9109544,ETIFLAM 120MG TABS  7,9.142,1.0,86.17,61.4,24.77,0.103,28.746
PDST,PDST13,LP9118767,EMCOR  2.5MG TABS 30,5.633,1.0,61.63,45.21,16.42,0.068,26.643
PDST,PDST13,LP9118768,EMCOR  5MG TABS 30,0.5,1.0,53.3,41.0,12.3,0.051,23.077
PDST,PDST13,LP9121649,ENALAPRIL 10MG TABS 28 ARYA,1.38,3.213,141.91,103.23,38.68,0.161,27.257
PDST,PDST13,LP9130720,FURIZOME SAC 1X3G,3.0,1.0,223.62,171.38,52.24,0.217,23.361
PDST,PDST13,LP9135619,GLUCOPHAGE XR  500MG TABS 30,1.367,2.0,68.08,47.38,20.7,0.086,30.405
PDST,PDST14,LP9041441,HEXARONE 100MG TABS 30,0.76,1.0,262.35,224.35,38.0,0.158,14.484
PDST,PDST14,LP9041494,INEGY 10/20 TABS 30,0.0,1.0,286.23,234.13,52.1,0.217,18.202
PDST,PDST14,LP9091934,REAPTAN 10/10MG,0.0,1.0,220.08,166.84,53.24,0.221,24.191
PDST,PDST14,LP9126725,IVEDAL 10MG TABS 28,2.409,1.071,147.73,114.68,33.05,0.137,22.372
PDST,PDST15,LP9041557,KLARITHRAN 500MG TABS 10,0.1,2.0,292.46,218.26,74.2,0.308,25.371
PDST,PDST15,LP9041655,LEXAMIL 10MG TABS 30,5.533,2.0,295.9,217.54,78.36,0.326,26.482
PDST,PDST15,LP9041663,LIBRAX 5MG TABS 100,0.55,0.75,599.58,508.34,91.24,0.379,15.217
PDST,PDST15,LP9041705,LOSAAR PLUS 100/25MG TABS 30,0.497,1.0,109.1,77.74,31.36,0.13,28.744
PDST,PDST15,LP9121496,LYBET  75MG CAPS 60,2.3,0.5,105.14,78.46,26.68,0.111,25.376
PDST,PDST15,LP9128038,LOKIT OD 20MG CAPS 30,0.699,3.0,660.64,513.3,147.34,0.612,22.303
PDST,PDST16,LP9041779,MENOGRAINE 25MCG TABS  30,1.0,2.0,152.54,111.9,40.64,0.169,26.642
PDST,PDST16,LP9041876,MYLAN ALPRAZOLAM 0.5MG TABS 100,0.86,0.3,21.26,15.32,5.94,0.025,27.94
PDST,PDST16,LP9041893,DEFULIDE 40MG TABS 250,3.454,0.12,14.45,5.52,8.93,0.037,61.799
PDST,PDST16,LP9041930,MYPAID FORTE TABS  30,17.0,4.0,544.65,394.6,150.05,0.624,27.55
PDST,PDST16,LP9041986,NICOTINAMIDE 25MG 1000,0.484,0.06,6.23,4.1,2.13,0.009,34.189
PDST,PDST16,LP9042068,OXPOLA 0.125MG TABS 100,0.1,0.3,98.08,70.33,27.75,0.115,28.293
PDST,PDST16,LP9058202,MEMOR 10MG TABS 60,1.297,0.5,214.09,161.98,52.11,0.217,24.34
PDST,PDST16,LP9079877,NURIKA  25MG CAPS 60,3.049,1.0,136.46,112.83,23.63,0.098,17.316
PDST,PDST16,LP9079878,NURIKA  75MG CAPS 60,0.086,0.5,162.28,141.01,21.27,0.088,13.107
PDST,PDST16,LP9103984,MYLAN DICLOFENAC 50MG TABS   18,579.666,21.0,273.0,153.93,119.07,0.495,43.615
PDST,PDST16,LP9115495,METFORMIN TEVA ER 1000MG TABS 60,4.991,3.0,436.32,324.68,111.64,0.464,25.587
PDST,PDST16,LP9130819,OMECTRON 8MG ODT 10,0.3,0.3,151.7,111.27,40.43,0.168,26.651
PDST,PDST17,LP9042107,PEARINDA 8MG TABS 30,0.067,2.0,266.87,196.18,70.69,0.294,26.489
